"subject","version","assignmentId","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","4","12","0","FLEMMERING","plibbered 4
flemmering 1
cheedle 
PLIBBERED 9
FLEMMERING 12
CHEEDLE 7","92477","2017-02-06 17:07:37","138"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","5","24","1","FLEMMERING","PLIBBERED 4
FLEMMERING 5","60431","2017-02-06 17:09:01","139"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","6","16","1","NARDLY",,"40931","2017-02-06 17:10:06","140"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","7","4","1","DUNCHED",,"30784","2017-02-06 17:11:01","141"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","0","4","0","wooked","8","27741","2017-02-06 17:12:25","142"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","8","16","1","FLEMMERING",,"30214","2017-02-06 17:13:11","143"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","1","8","0","16","jaddeared","36803","2017-02-06 17:13:27","144"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","2","24","1",,,"11587","2017-02-06 17:14:48","145"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","3","20","1",,,"5219","2017-02-06 17:15:45","146"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","4","12","0","WOOKED","WOOKED","21027","2017-02-06 17:17:04","147"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","5","4","0","JADDEARED",,"23949","2017-02-06 17:18:07","148"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","6","5","1","MURRAD","MURRAD","17143","2017-02-06 17:19:01","149"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","7","20","0","MURRAD",,"30952","2017-02-06 17:20:12","150"
"ANJJYKB47APL5","cs_wg_v1_pilot2","36TFCYNS44BQ5PLKNUF9YICNN71HXE","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","8","4","0","MURRAD",,"7729","2017-02-06 17:20:53","151"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","0","16","1","roaking",,"33483","2017-02-06 17:24:40","152"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","1","20","0","cheedle",,"7964","2017-02-06 17:25:02","153"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","2","5","1","murrads",,"9542","2017-02-06 17:25:29","154"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","3","8","1",,"valer","11876","2017-02-06 17:26:06","155"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","4","12","0","murrads",,"10247","2017-02-06 17:26:28","156"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","5","4","0","cheedle",,"9749","2017-02-06 17:27:03","157"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","6","4","1","murrads",,"4148","2017-02-06 17:27:27","158"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","7","4","0","roaking",,"8070","2017-02-06 17:27:48","159"
"A3G00Q5JV2BE5G","cs_wg_v1_pilot2","3S06PH7KSR5138VPU5BCCOTOQ0TD19","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","8","12","0","roaking",,"4949","2017-02-06 17:28:09","160"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","0","8","1","MICKERED","wooked jaddeared hotchack mickered roaking HOTCHACK JADDEARED MICKERED","117151","2017-02-06 17:56:37","161"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","1","12","0","MURRADS","Wooked 6 Screep blicket 8 Vated flemmering murrads","232455","2017-02-06 18:00:59","162"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","2","16","1","HOTCHACK","WOOKED-3 SCREEP-1 VATED-2 POATS-3 HOTCHACK-5","103853","2017-02-06 18:03:23","163"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","3","4","0","VATED","SCREEP VATED POATS HOTCHACK FLEMMERING MICKERED","209494","2017-02-06 18:07:42","164"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","4","20","1","HOTCHACK","JADDEARED 3 BLICKET 3 MICKERED2 HOTCHACK 5","147544","2017-02-06 18:11:16","165"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","5","24","1","FLEMMERING","HOTCHACK JADDEARED FLEMMERING 6 SCREEP-3 ","84025","2017-02-06 18:13:36","166"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","6","4","1","Dunched","Wooked Flemming DUNCHED HOT SC MICK","58423","2017-02-06 18:15:00","167"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","7","5","1","Roaking","WOOK SCREE ROAKING","24491","2017-02-06 18:15:49","168"
"AXJ1PE87PD0KK","cs_wg_v1_pilot2","30X31N5D63R3ZLR7NEZUIO8RVX9SA6","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","8","16","1","JADDEARED","VATED ROAKING DUNCHED JADDEARED 7 VATED 2FLEMMERING","83284","2017-02-06 18:17:46","169"
